Experiment,Success,Failed,RPS,Dropout,p50,p95,p99
1_backend,4812,188,313.0,3.8%,431.1ms,1509.9ms,3052.7ms
3_backends,5000,0,455.1,0.0%,307.6ms,902.6ms,2522.6ms
