timestamp,cpu_pct,mem_pct,bytes_sent,bytes_recv
2026-09-14T16:59:11.511852,25.1,21.8,22082927808,11503280958
2026-09-14T16:59:12.513406,21.4,21.8,22082935241,11503286885
2026-09-14T16:59:13.514699,22.3,21.8,22082938282,11503288420
2026-09-14T16:59:14.518002,21.5,21.8,22082941191,11503289823
2026-09-14T16:59:15.519377,21.9,21.9,22083027189,11503355622
2026-09-14T16:59:16.520719,22.3,21.9,22083035062,11503406778
2026-09-14T16:59:17.522002,21.3,21.7,22083274710,11503477744
2026-09-14T16:59:18.523833,21.3,21.6,22083614361,11503591769
2026-09-14T16:59:19.525055,21.0,21.5,22083682134,11503651238
2026-09-14T16:59:20.528949,19.7,21.6,22083771512,11503758588
2026-09-14T16:59:21.530542,18.5,21.6,22084009942,11503852858
2026-09-14T16:59:22.531884,19.2,21.6,22084459040,11503952597
2026-09-14T16:59:23.534684,19.8,21.7,22085266198,11504033710
2026-09-14T16:59:24.535844,20.1,21.7,22086553093,11504125087
2026-09-14T16:59:25.538413,21.3,21.7,22087956457,11504209579
2026-09-14T16:59:26.546991,21.0,21.7,22088864948,11504278413
2026-09-14T16:59:27.548967,19.7,21.7,22090096090,11504376590
2026-09-14T16:59:28.554529,20.4,21.8,22090977373,11504451705
2026-09-14T16:59:29.557351,21.5,21.7,22092356941,11504516711
2026-09-14T16:59:30.558701,23.8,21.8,22093652398,11504731190
2026-09-14T16:59:31.559888,23.8,21.8,22094848819,11504799511
2026-09-14T16:59:32.573292,22.7,21.7,22095935742,11504911764
2026-09-14T16:59:33.577144,24.0,21.8,22097266525,11504983885
2026-09-14T16:59:34.579641,22.8,21.8,22097667900,11505041591
2026-09-14T16:59:35.583975,23.9,21.9,22097896731,11505123071
2026-09-14T16:59:36.585167,26.5,21.9,22098782515,11505188814
2026-09-14T16:59:37.586388,27.4,21.9,22099476229,11505245132
2026-09-14T16:59:38.587598,22.5,21.9,22100677834,11505365419
2026-09-14T16:59:39.589061,20.1,21.9,22101903075,11505422864
2026-09-14T16:59:40.591040,21.2,21.9,22102406082,11505452298
2026-09-14T16:59:41.592348,17.8,21.9,22102917219,11505480391
2026-09-14T16:59:42.594065,17.8,21.9,22104207510,11505525358
2026-09-14T16:59:43.595403,19.3,21.9,22105251494,11505784603
2026-09-14T16:59:44.596835,18.1,22.0,22105255639,11505806870
2026-09-14T16:59:45.598052,19.6,22.0,22105262112,11505839824
2026-09-14T16:59:46.599261,17.7,21.9,22105534679,11505873646
2026-09-14T16:59:47.600499,17.7,21.9,22108016961,11506051513
2026-09-14T16:59:48.602194,17.4,21.9,22108572741,11506070285
2026-09-14T16:59:49.607978,18.3,21.9,22108858097,11506101254
2026-09-14T16:59:50.609191,21.7,21.9,22108863826,11506138321
2026-09-14T16:59:51.610493,22.1,21.9,22108869531,11506175708
2026-09-14T16:59:52.615991,23.6,21.9,22108876730,11506226176
2026-09-14T16:59:53.620007,25.1,21.9,22108882213,11506281272
2026-09-14T16:59:54.623973,25.0,21.9,22108888224,11506319893
2026-09-14T16:59:55.625113,23.9,22.0,22109917573,11506474386
2026-09-14T16:59:56.626299,23.5,22.0,22112198028,11506590861
2026-09-14T16:59:57.629524,24.3,22.1,22114579773,11506659392
2026-09-14T16:59:58.630842,18.6,22.1,22115613791,11506714345
2026-09-14T16:59:59.632804,19.7,22.1,22116316018,11506761277
2026-09-14T17:00:00.633766,17.7,22.1,22118453267,11506831374
2026-09-14T17:00:01.637354,18.2,22.1,22121670011,11506892646
2026-09-14T17:00:02.639897,18.0,22.1,22123496847,11506937843
2026-09-14T17:00:03.643369,19.1,22.1,22126841244,11507024676
2026-09-14T17:00:04.648020,19.0,22.1,22132492183,11507121082
2026-09-14T17:00:05.649720,17.5,22.3,22134426997,11507312822
2026-09-14T17:00:06.651307,16.7,22.3,22135216499,11507339944
2026-09-14T17:00:07.653154,15.8,22.3,22136395407,11507360237
2026-09-14T17:00:08.656362,17.4,22.3,22136405989,11507374541
2026-09-14T17:00:09.659446,17.6,22.3,22136409998,11507389707
2026-09-14T17:00:10.661258,17.1,22.3,22136417773,11507407278
2026-09-14T17:00:11.662497,16.8,22.3,22137215854,11507427553
2026-09-14T17:00:12.670997,16.8,22.3,22137616751,11507435548
2026-09-14T17:00:13.679643,18.2,22.3,22138820993,11507474837
2026-09-14T17:00:14.684055,22.7,22.0,22138825642,11507496282
2026-09-14T17:00:15.694879,23.1,22.0,22138829679,11507506279
2026-09-14T17:00:16.696735,21.3,22.1,22138832390,11507507484
2026-09-14T17:00:17.701037,20.8,22.1,22138835035,11507508689
2026-09-14T17:00:18.707998,20.7,22.1,22138837944,11507510092
2026-09-14T17:00:19.709145,21.5,22.2,22138840799,11507511429
2026-09-14T17:00:20.711998,22.8,22.2,22138843576,11507512742
2026-09-14T17:00:21.714724,22.2,22.1,22138846221,11507513881
2026-09-14T17:00:22.717048,23.0,22.1,22138848932,11507515086
2026-09-14T17:00:23.720034,17.2,22.1,22138851643,11507516305
2026-09-14T17:00:24.723491,16.1,22.1,22138854354,11507517510
2026-09-14T17:00:25.724834,18.0,22.1,22138857065,11507518715
2026-09-14T17:00:26.726114,15.1,22.1,22138859710,11507519854
2026-09-14T17:00:27.727452,20.2,22.2,22138862931,11507521569
2026-09-14T17:00:28.729090,17.8,22.1,22138865708,11507522840
2026-09-14T17:00:29.732797,16.1,22.1,22138868353,11507524021
2026-09-14T17:00:30.734198,17.3,22.1,22138871076,11507525226
