second,rps,err_rate
1,48.00,0.00
2,45.00,0.00
3,21.00,0.00
4,44.00,0.00
5,59.00,0.00
6,60.00,0.00
7,62.00,0.00
8,59.00,0.00
9,59.00,0.00
10,62.00,0.00
11,64.00,0.00
12,54.00,0.00
13,62.00,0.00
14,38.00,0.00
15,35.00,0.00
16,59.00,0.00
17,65.00,0.00
18,51.00,0.00
19,66.00,0.00
20,62.00,0.00
21,52.00,0.00
22,46.00,0.00
23,23.00,0.00
24,57.00,0.00
25,52.00,0.00
26,57.00,0.00
27,52.00,0.00
28,53.00,0.00
29,50.00,0.00
30,52.00,0.00
31,63.00,0.00
32,58.00,0.00
33,56.00,0.00
34,61.00,0.00
35,59.00,0.00
36,23.00,0.00
37,39.00,0.00
38,21.00,0.00
39,50.00,0.00
40,58.00,0.00
41,49.00,0.00
42,47.00,0.00
43,46.00,0.00
44,52.00,0.00
45,47.00,0.00
46,60.00,0.00
47,50.00,0.00
48,20.00,0.00
49,54.00,0.00
50,40.00,0.00
51,54.00,0.00
52,47.00,0.00
53,58.00,0.00
54,40.00,0.00
55,37.00,0.00
56,51.00,0.00
57,56.00,0.00
58,44.00,0.00
59,44.00,0.00
60,46.00,0.00
