timestamp,cpu_pct,mem_pct,bytes_sent,bytes_recv
2026-09-14T17:05:04.592238,15.7,22.1,20905894718,10395861880
2026-09-14T17:05:05.595049,16.6,22.1,20905902529,10395868251
2026-09-14T17:05:06.596650,16.2,22.1,20905905954,10395871485
2026-09-14T17:05:07.600259,16.8,22.0,20905913465,10395878678
2026-09-14T17:05:08.601833,16.0,22.0,20905916848,10395886982
2026-09-14T17:05:09.603710,18.2,22.0,20905925042,10395898975
2026-09-14T17:05:10.608643,15.7,22.0,20905930467,10395913048
2026-09-14T17:05:11.612680,15.2,22.0,20905936261,10395928152
2026-09-14T17:05:12.614039,17.6,22.0,20905946323,10395949607
2026-09-14T17:05:13.616417,18.4,22.0,20905974035,10395985608
2026-09-14T17:05:14.618069,17.1,21.9,20905979744,10396002899
2026-09-14T17:05:15.619342,15.3,21.9,20906008270,10396028593
2026-09-14T17:05:16.622821,14.8,22.0,20906043210,10396059386
2026-09-14T17:05:17.624629,16.1,22.0,20906120321,10396109208
2026-09-14T17:05:18.627214,16.5,22.0,20906170024,10396148155
2026-09-14T17:05:19.628628,18.0,22.0,20906256035,10396184219
2026-09-14T17:05:20.630381,16.1,22.1,20906286061,10396237445
2026-09-14T17:05:21.631814,17.3,22.1,20906579478,10396301652
2026-09-14T17:05:22.633446,16.6,22.2,20907085230,10396414035
2026-09-14T17:05:23.636273,17.6,22.2,20907531765,10396501987
2026-09-14T17:05:24.640630,16.6,22.2,20908020929,10396558606
2026-09-14T17:05:25.644633,17.2,22.2,20908636680,10396642587
2026-09-14T17:05:26.648666,17.9,22.2,20908853596,10396720833
2026-09-14T17:05:27.650005,16.8,22.2,20909295802,10396807952
2026-09-14T17:05:28.651154,18.1,22.2,20910104205,10396883749
2026-09-14T17:05:29.652427,16.5,22.2,20911087802,10396970571
2026-09-14T17:05:30.653785,18.9,22.2,20911771309,10397066703
2026-09-14T17:05:31.656812,19.9,22.2,20912782204,10397145062
2026-09-14T17:05:32.658665,17.6,22.3,20913875904,10397238451
2026-09-14T17:05:33.659979,17.3,22.3,20915049027,10397333119
2026-09-14T17:05:34.662635,16.0,22.3,20915925019,10397404714
2026-09-14T17:05:35.671611,17.5,22.3,20916705860,10397512167
2026-09-14T17:05:36.680730,18.0,22.1,20919931715,10397651007
2026-09-14T17:05:37.684664,17.8,22.1,20921023857,10397750902
2026-09-14T17:05:38.686285,17.1,22.0,20922897212,10398100824
2026-09-14T17:05:39.687683,17.3,22.0,20924593848,10398209752
2026-09-14T17:05:40.690000,17.7,22.0,20926657557,10398338988
2026-09-14T17:05:41.691225,18.2,22.0,20929617072,10398445046
2026-09-14T17:05:42.697297,17.7,22.0,20932160022,10398552383
2026-09-14T17:05:43.705120,17.4,22.0,20934513106,10398659588
2026-09-14T17:05:44.706506,17.9,21.9,20935774944,10398791715
2026-09-14T17:05:45.707975,16.9,21.9,20937743734,10398916045
2026-09-14T17:05:46.709068,17.7,21.9,20940107548,10399037907
2026-09-14T17:05:47.710456,19.2,22.0,20943305277,10399161844
2026-09-14T17:05:48.711797,18.9,22.0,20946614154,10399275027
2026-09-14T17:05:49.713414,17.7,22.0,20948892912,10399391930
2026-09-14T17:05:50.714662,18.5,22.0,20950095407,10399507308
2026-09-14T17:05:51.716167,16.8,22.0,20954175121,10400193160
2026-09-14T17:05:52.717530,18.1,22.0,20956685161,10400320937
2026-09-14T17:05:53.718979,17.2,22.1,20961866521,10400464376
2026-09-14T17:05:54.721105,17.7,22.1,20968419120,10400579490
2026-09-14T17:05:55.722263,19.5,22.1,20969775453,10400650653
2026-09-14T17:05:56.724685,19.2,22.1,20972536471,10400752165
2026-09-14T17:05:57.726196,17.5,22.1,20976319322,10400914822
2026-09-14T17:05:58.727557,17.5,22.2,20976801161,10400980875
2026-09-14T17:05:59.729707,17.7,22.1,20977329416,10401071846
2026-09-14T17:06:00.730854,17.1,22.1,20982804265,10401237466
2026-09-14T17:06:01.732014,18.4,22.1,20982810936,10401308889
2026-09-14T17:06:02.733603,17.7,22.2,20982820517,10401374072
2026-09-14T17:06:03.735011,17.4,22.2,20982833443,10401441059
2026-09-14T17:06:04.738662,18.7,22.2,20988370067,10401772394
2026-09-14T17:06:05.746555,18.6,22.2,20990084821,10401873620
2026-09-14T17:06:06.747770,17.3,22.2,20992391045,10401968833
2026-09-14T17:06:07.750014,18.0,22.2,20992398358,10402034255
2026-09-14T17:06:08.753876,18.7,22.2,20993004684,10402124545
2026-09-14T17:06:09.755301,18.3,22.2,20994210147,10402190977
2026-09-14T17:06:10.757784,17.9,22.2,21001681833,10402475845
2026-09-14T17:06:11.759772,18.5,22.2,21007960121,10402568527
2026-09-14T17:06:12.761367,19.2,22.2,21007967416,10402635306
2026-09-14T17:06:13.768979,18.9,22.2,21008659125,10402746587
2026-09-14T17:06:14.772112,18.2,22.0,21018586776,10402971099
2026-09-14T17:06:15.775490,17.5,21.9,21018594119,10403028856
2026-09-14T17:06:16.778185,16.7,21.9,21019956458,10403115870
2026-09-14T17:06:17.784695,17.5,22.0,21024156249,10403257454
2026-09-14T17:06:18.785817,16.5,22.0,21029837381,10403346764
2026-09-14T17:06:19.788681,18.1,22.0,21038471403,10403457789
2026-09-14T17:06:20.789993,21.3,22.0,21039205085,10403514826
2026-09-14T17:06:21.792688,22.4,22.0,21042232733,10403590844
2026-09-14T17:06:22.796698,23.3,22.0,21048311022,10403851476
2026-09-14T17:06:23.801367,20.4,22.1,21053382407,10403941683
2026-09-14T17:06:24.808739,17.8,22.1,21053388118,10403982703
2026-09-14T17:06:25.810444,18.3,22.2,21056490560,10404101402
2026-09-14T17:06:26.811995,17.9,22.2,21064276536,10404228304
2026-09-14T17:06:27.813330,18.5,22.2,21069765159,10404327739
2026-09-14T17:06:28.815009,17.4,22.2,21069773198,10404385764
2026-09-14T17:06:29.816399,18.6,22.2,21072189615,10404472541
2026-09-14T17:06:30.817899,17.9,22.2,21074655456,10404557888
2026-09-14T17:06:31.819534,20.3,22.2,21077952647,10404636133
2026-09-14T17:06:32.821866,20.1,22.2,21089693151,10404922795
2026-09-14T17:06:33.823250,19.2,22.3,21090548755,10404980394
2026-09-14T17:06:34.825856,20.3,22.2,21091412124,10405040103
2026-09-14T17:06:35.827890,16.7,22.2,21095746503,10405125347
2026-09-14T17:06:36.830365,16.2,22.2,21105344543,10405281313
2026-09-14T17:06:37.832026,17.7,22.1,21114152340,10405405936
2026-09-14T17:06:38.836695,16.2,22.1,21116809626,10405465136
2026-09-14T17:06:39.841756,18.3,22.1,21118602289,10405564262
2026-09-14T17:06:40.849184,16.8,22.1,21119521054,10405629890
2026-09-14T17:06:41.851141,19.4,22.1,21134188562,10405831760
2026-09-14T17:06:42.852438,17.4,22.0,21140641410,10405899352
2026-09-14T17:06:43.857628,18.3,22.0,21141578993,10405957211
2026-09-14T17:06:44.859233,16.9,22.1,21142529238,10406033458
2026-09-14T17:06:45.863099,18.7,22.1,21154935847,10406253758
2026-09-14T17:06:46.869267,19.7,22.1,21158766977,10406323086
2026-09-14T17:06:47.870595,18.1,22.1,21158776794,10406375180
2026-09-14T17:06:48.871893,18.2,22.2,21159761112,10406420372
2026-09-14T17:06:49.879297,17.3,22.2,21169584141,10406567650
2026-09-14T17:06:50.880583,18.1,22.2,21178437597,10406638157
2026-09-14T17:06:51.888838,17.6,22.1,21178446392,10406694103
2026-09-14T17:06:52.890144,18.1,22.1,21179451510,10406761210
2026-09-14T17:06:53.892273,18.2,22.1,21184513861,10406904404
2026-09-14T17:06:54.893596,17.3,22.1,21186553223,10406950266
2026-09-14T17:06:55.895195,18.3,22.1,21188732706,10407003543
2026-09-14T17:06:56.896666,18.1,22.0,21190658421,10407049662
2026-09-14T17:06:57.898023,18.8,22.1,21196876554,10407150804
2026-09-14T17:06:58.900695,19.4,22.1,21202113882,10407280552
2026-09-14T17:06:59.902215,18.3,22.1,21215793110,10407430845
2026-09-14T17:07:00.904674,17.8,22.1,21215800229,10407475123
2026-09-14T17:07:01.906141,18.8,22.2,21215809054,10407520866
2026-09-14T17:07:02.910689,19.0,22.2,21225545922,10407699628
2026-09-14T17:07:03.912676,17.0,22.2,21236380147,10407788213
2026-09-14T17:07:04.916705,17.8,22.3,21236388449,10407828186
2026-09-14T17:07:05.920685,19.2,22.3,21242978251,10407949574
2026-09-14T17:07:06.922287,16.6,22.3,21249621086,10408023135
2026-09-14T17:07:07.924689,15.5,22.3,21249623797,10408024340
2026-09-14T17:07:08.936683,16.7,22.3,21249627690,10408027519
2026-09-14T17:07:09.947250,15.5,22.2,21249630335,10408028658
2026-09-14T17:07:10.950118,15.6,22.2,21249632847,10408029731
2026-09-14T17:07:11.955614,13.7,22.2,21249635690,10408031068
2026-09-14T17:07:12.957316,17.3,22.3,21249638467,10408032339
2026-09-14T17:07:13.958842,16.4,22.3,21249641112,10408033478
2026-09-14T17:07:14.961009,17.6,22.2,21249643823,10408034683
2026-09-14T17:07:15.964676,17.4,22.2,21249646468,10408035864
2026-09-14T17:07:16.970071,18.1,22.1,21249649509,10408037413
2026-09-14T17:07:17.971764,16.4,22.1,21249652286,10408038684
2026-09-14T17:07:18.975977,17.2,22.1,21249654997,10408039889
2026-09-14T17:07:19.979166,16.0,22.1,21249657892,10408041040
2026-09-14T17:07:20.984649,13.3,22.1,21249660537,10408042221
2026-09-14T17:07:21.988671,13.8,22.0,21249663590,10408043756
2026-09-14T17:07:22.990956,15.3,22.0,21249666367,10408045027
2026-09-14T17:07:23.992633,14.8,22.0,21249669012,10408046166
